,Sıcaklık,Nem,Rüzgar,Yağış,Hissedilen Sıcaklık
13086,24.56302,100.0,4.59857,0.0,26.18921
13087,16.34373,85.90508,0.58353,0.0,18.10322
13088,20.02421,78.37614,1.5197,0.0,21.50386
13089,20.56983,70.8425,1.3418,0.0,22.25067
13091,22.5455,100.0,2.77933,33.77778,24.03733
13092,24.28483,100.0,5.39933,30.97674,25.70133
13093,26.47593,49.01852,5.42593,0.0,26.89648
13094,22.61164,100.0,2.95098,56.57143,24.11656
13095,22.95633,62.89483,0.43893,0.0,25.16567
13096,24.60267,74.73233,7.21013,0.0,25.85067
13097,28.13966,62.81797,1.4961,0.0,29.96644
13098,29.02267,62.584,2.23135,0.0,31.47283
13099,21.40172,77.48931,1.806,0.0,22.94897
13100,30.23804,57.85078,3.16686,0.0,32.8649
13101,23.10276,78.10448,2.60034,0.0,24.67276
13102,26.60333,61.5,5.27,0.0,27.678
13103,30.54333,47.78333,2.42667,0.0,31.4985
13104,22.96833,90.495,2.506,0.0,24.56083
13105,21.60367,80.60633,1.96205,0.0,23.14217
13107,23.0185,76.1355,1.882,0.0,24.65667
13109,19.72733,100.0,1.22517,0.0,21.22517
13110,22.853,94.27,4.35935,0.0,24.13133
13115,23.49836,85.36066,3.8377,0.0,24.96738
13116,28.66869,51.40213,2.5423,0.0,29.39984
13117,21.106,67.15833,2.377,0.0,22.48083
13118,26.53161,63.89357,2.57016,0.0,27.73321
13120,22.2145,58.83017,0.0,0.003,22.21483
13121,23.59426,64.83148,3.12148,35.53659,25.18787
13123,22.34262,96.4082,6.4623,0.0,23.25705
13124,22.62421,85.12982,3.25421,9.17391,24.11035
13125,23.56804,78.97745,1.14804,0.0,25.56
13127,29.12867,69.23767,1.994,0.0,32.88533
13128,22.16898,79.76966,1.15193,0.0,24.04983
13129,19.60276,76.70793,2.42241,0.0,20.70845
13130,23.84667,97.91667,1.72167,0.0,25.7235
13131,26.96333,70.76667,6.20667,0.0,28.86633
13132,29.922,47.05567,2.53267,0.0,30.4935
13133,26.23289,56.98033,3.33793,0.0,27.05711
13134,19.15317,60.38917,0.82563,0.0,20.959
13135,25.79709,75.762,1.62964,0.0,27.12018
13136,19.2915,79.044,1.84858,0.0,20.5335
13137,21.80639,99.49672,0.69852,0.0,23.11
13139,21.0365,87.615,0.15168,0.0,21.61733
13140,22.72887,100.0,4.14548,0.0,24.02968
13143,25.92707,63.93224,2.62098,0.0,26.9819
13145,22.85,84.3,4.00833,0.0,24.16467
13146,30.2759,59.2859,2.90023,0.0,33.20918
13148,24.04828,52.31362,1.92807,0.0,25.91759
13149,22.21678,100.0,2.47847,26.51282,23.73932
13150,18.99915,81.93814,1.51847,0.58333,20.29983
13152,26.04917,73.75267,1.45533,0.0,27.5185
13155,28.01833,66.96667,6.21333,0.0,30.31
13157,21.5185,78.964,1.50993,0.0,23.17733
13158,22.11095,57.74667,3.6506,0.0,23.36667
13159,23.89068,74.42915,1.66631,0.0,25.83932
13160,17.80245,95.0566,0.53,0.0,19.57472
13161,26.64,57.35,3.17,0.0,27.65
13162,25.87842,51.38982,1.48105,0.0,26.56877
13164,20.34082,74.29279,1.25639,0.0,22.0082
13165,25.8705,72.50433,1.52587,0.0,27.27567
13166,24.53,90.49557,0.74541,0.0,26.16098
13167,20.24067,74.16233,1.26028,0.0,21.875
13168,21.78783,85.01833,3.18488,0.0,22.9585
13169,23.09148,85.12623,2.07885,0.0,24.78951
13171,27.99817,61.02167,1.798,0.0,29.55683
13172,22.51,73.48333,0.37667,0.0,24.40767
13173,23.72033,100.0,1.16017,0.0,25.176
13174,24.21032,100.0,3.14841,0.0,25.95683
13175,22.08049,82.93066,2.2218,28.76471,23.48492
13176,27.2485,72.5445,2.0843,0.0,29.65117
13177,23.18533,75.58733,2.02747,0.0,24.904
13178,29.97,61.68333,3.26667,0.0,33.12667
13179,22.99636,90.96364,0.59533,0.0,25.118
13180,30.03107,54.73,3.15,0.0,31.88179
13181,25.67903,77.48403,1.90803,0.0,27.02774
13182,24.119,75.4625,0.99907,0.0,26.231
13183,28.62542,67.9322,2.51186,0.0,31.57983
13184,23.21852,75.70066,1.93408,0.0,24.97475
13185,20.85155,87.03276,2.50241,4.0,22.12155
13186,21.04172,59.5531,1.12297,0.0,22.75379
13187,21.76066,100.0,4.54426,0.0,22.76508
13188,23.875,76.3,2.425,0.0,25.621
13189,18.917,94.31333,0.58133,0.0,20.97717
13191,29.42131,63.67213,2.92131,0.0,32.4182
13192,25.49661,78.44068,6.09831,0.0,26.71322
13193,26.53649,65.01,2.28158,0.0,27.82561
13197,24.87241,83.98276,5.3069,0.0,26.32621
13198,22.62721,100.0,3.41525,40.825,23.9918
13200,27.65483,77.8025,2.298,29.74359,30.94333
13201,26.6115,100.0,4.32867,33.5102,30.441
13202,22.54814,88.7339,0.90508,0.0,24.58237
13203,27.3145,62.74683,3.27,0.0,28.71017
13204,20.95683,100.0,2.71,0.0,22.181
13205,28.26098,70.30574,2.69556,0.0,31.17328
13209,27.46103,60.55603,3.04572,0.0,28.72259
13211,19.28,67.56667,2.49167,0.0,20.2695
13212,26.26797,58.60559,3.44932,0.0,27.15034
13213,18.36492,100.0,1.06593,0.0,19.48051
13214,24.59458,71.99864,2.63576,0.0,26.2978
13216,27.93871,69.93403,3.09774,0.0,30.5221
13217,27.19167,59.6,1.64167,0.0,28.26067
13219,26.249,72.22467,2.09037,0.0,27.761
13220,22.78683,90.15667,0.9803,0.0,24.807
13222,23.7295,79.74183,0.62568,0.0,25.2665
13223,18.37915,100.0,0.06119,0.0,18.41305
13224,24.44387,55.45242,1.62729,0.0,26.24758
13225,29.30898,61.52102,2.70356,0.0,31.88288
13227,23.45017,74.26017,4.08028,0.0,24.89267
13228,21.89133,77.912,1.91122,0.0,23.5225
13229,28.29412,47.11765,6.77059,0.0,28.51412
13230,22.06729,91.12203,3.73081,0.0,23.25864
13231,20.79333,100.0,2.58333,0.0,22.29333
